Disease,Description
Infeksi jamur,Infeksi jamur adalah kondisi kulit umum yang disebabkan oleh jamur.
Alergi,Alergi adalah reaksi sistem kekebalan terhadap suatu zat di lingkungan.
GERD,GERD (Gastroesophageal Reflux Disease) adalah gangguan pencernaan yang mempengaruhi sfingter esofagus bagian bawah.
Kolestasis Kronis,Kolestasis Kronis adalah kondisi di mana aliran empedu dari hati berkurang untuk jangka waktu yang lama.
Reaksi Obat,Reaksi Obat terjadi ketika tubuh bereaksi negatif terhadap obat.
Penyakit tukak peptik,Penyakit tukak peptik melibatkan luka yang berkembang di lapisan dalam lambung dan usus kecil.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) adalah penyakit yang disebabkan oleh HIV yang melemahkan sistem kekebalan tubuh.
Diabetes,Diabetes adalah kondisi kronis yang mempengaruhi cara tubuh memproses gula darah.
Gastroenteritis,"Gastroenteritis adalah peradangan pada lambung dan usus, biasanya disebabkan oleh virus atau bakteri."
Asma Bronkial,Asma Bronkial adalah kondisi pernapasan yang ditandai dengan peradangan pada saluran napas.
Hipertensi,"Hipertensi, atau tekanan darah tinggi, adalah kondisi kardiovaskular yang umum."
Migrain,Migrain adalah jenis sakit kepala yang sering melibatkan nyeri hebat dan sensitivitas terhadap cahaya dan suara.
Spondilosis Serviks,Spondilosis Serviks adalah kondisi degeneratif pada tulang belakang leher.
Paralisis (perdarahan otak),Paralisis (perdarahan otak) mengacu pada kehilangan fungsi otot akibat perdarahan di otak.
Kuning,"Kuning adalah perubahan warna kulit dan mata menjadi kuning, sering menunjukkan masalah hati."
Malaria,Malaria adalah penyakit menular yang ditularkan oleh nyamuk yang mempengaruhi manusia dan hewan lainnya.
Cacar Air,Cacar Air adalah infeksi virus yang sangat menular yang menyebabkan ruam gatal.
Dengue,Dengue adalah infeksi virus yang ditularkan oleh nyamuk yang menyebabkan gejala mirip flu.
Tifoid,Tifoid adalah infeksi bakteri yang dapat menyebabkan demam tinggi dan gejala gastrointestinal.
Hepatitis A,Hepatitis A adalah penyakit hati yang disebabkan oleh virus.
Hepatitis B,Hepatitis B adalah infeksi virus yang menyerang hati.
Hepatitis C,Hepatitis C adalah infeksi virus yang menyebabkan peradangan hati.
Hepatitis D,Hepatitis D adalah penyakit hati serius yang disebabkan oleh virus hepatitis D.
Hepatitis E,Hepatitis E adalah infeksi virus yang menyebabkan peradangan hati.
Hepatitis Alkoholik,Hepatitis Alkoholik adalah peradangan hati akibat konsumsi alkohol.
Tuberkulosis,Tuberkulosis adalah infeksi bakteri yang terutama mempengaruhi paru-paru.
Flu Biasa,Flu Biasa adalah infeksi virus pada saluran pernapasan atas.
Pneumonia,Pneumonia adalah kondisi peradangan yang mempengaruhi kantung udara di paru-paru.
Hemoroid Dimorfik (Wasir),Hemoroid Dimorfik (Wasir) adalah kondisi yang ditandai dengan pembengkakan pembuluh darah di rektum.
Serangan jantung,Serangan jantung adalah pengurangan aliran darah yang tiba-tiba dan parah ke otot jantung.
Varises,"Varises adalah pembuluh darah yang membesar dan berpilin yang biasanya muncul di kaki."
Hipotiroidisme,Hipotiroidisme adalah kondisi di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.
Hipertiroidisme,Hipertiroidisme adalah kondisi di mana kelenjar tiroid menghasilkan terlalu banyak hormon tiroid.
Hipoglikemia,Hipoglikemia adalah kondisi yang ditandai oleh kadar gula darah yang sangat rendah.
Osteoartritis adalah penyakit sendi degeneratif yang mempengaruhi tulang rawan pada sendi.
Artritis,"Artritis adalah peradangan pada satu atau lebih sendi, menyebabkan nyeri dan kekakuan."
(Vertigo) Vertigo Posisi Paroksismal,(Vertigo) Vertigo Posisi Paroksismal adalah jenis pusing yang disebabkan oleh gerakan kepala tertentu.
Jerawat,Jerawat adalah kondisi kulit yang terjadi ketika folikel rambut tersumbat oleh minyak dan sel kulit mati.
Infeksi saluran kemih,Infeksi saluran kemih adalah infeksi pada bagian mana pun dari sistem kemih.
Psoriasis,"Psoriasis adalah kondisi kulit kronis yang ditandai oleh bercak merah, gatal, dan bersisik."
Impetigo,Impetigo adalah infeksi kulit yang sangat menular yang menyebabkan luka merah yang bisa pecah.
