,Unnamed: 0,disease,workout
0,0,Infeksi jamur,Hindari makanan manis
1,1,Infeksi jamur,Konsumsi probiotik
2,2,Infeksi jamur,Tingkatkan asupan bawang putih
3,3,Infeksi jamur,Sertakan yogurt dalam diet
4,4,Infeksi jamur,Batasi makanan olahan
5,5,Infeksi jamur,Tetap terhidrasi
6,6,Infeksi jamur,Konsumsi teh hijau
7,7,Infeksi jamur,Makan makanan kaya seng
8,8,Infeksi jamur,Sertakan kunyit dalam diet
9,9,Infeksi jamur,Makan buah-buahan dan sayuran
10,10,Alergi,Hindari makanan yang menyebabkan alergi
11,11,Alergi,Konsumsi makanan antiinflamasi
12,12,Alergi,Sertakan asam lemak omega-3
13,13,Alergi,Tetap terhidrasi
14,14,Alergi,Konsumsi makanan kaya vitamin C
15,15,Alergi,Sertakan makanan kaya kuersetin
16,16,Alergi,Konsumsi madu lokal
17,17,Alergi,Batasi makanan olahan
18,18,Alergi,Sertakan jahe dalam diet
19,19,Alergi,Hindari bahan tambahan buatan
20,20,GERD,Konsumsi porsi makan kecil
21,21,GERD,"Hindari makanan pemicu (pedas, berlemak)"
22,22,GERD,Konsumsi makanan tinggi serat
23,23,GERD,Batasi konsumsi kafein dan alkohol
24,24,GERD,Kunyah makanan dengan baik
25,25,GERD,Hindari makan larut malam
26,26,GERD,Konsumsi buah-buahan non sitrus
27,27,GERD,Sertakan protein tanpa lemak
28,28,GERD,Tetap terhidrasi
29,29,GERD,Hindari minuman berkarbonasi
30,30,Kolestasis Kronis,Konsumsi diet rendah lemak
31,31,Kolestasis Kronis,Konsumsi makanan tinggi serat
32,32,Kolestasis Kronis,Sertakan lemak sehat
33,33,Kolestasis Kronis,Batasi konsumsi alkohol
34,34,Kolestasis Kronis,Tetap terhidrasi
35,35,Kolestasis Kronis,Konsumsi makanan kaya antioksidan
36,36,Kolestasis Kronis,Sertakan asam lemak omega-3
37,37,Kolestasis Kronis,Sertakan protein tanpa lemak
38,38,Kolestasis Kronis,Batasi konsumsi makanan olahan
39,39,Kolestasis Kronis,Hindari makanan digoreng
40,40,Reaksi Obat,Hentikan penggunaan obat yang menyebabkan masalah
41,41,Reaksi Obat,Tetap terhidrasi
42,42,Reaksi Obat,Sertakan makanan antiinflamasi
43,43,Reaksi Obat,Konsumsi antioksidan
44,44,Reaksi Obat,Hindari makanan pemicu
45,45,Reaksi Obat,Sertakan asam lemak omega-3
46,46,Reaksi Obat,Batasi konsumsi kafein dan alkohol
47,47,Reaksi Obat,Tetap terhidrasi
48,48,Reaksi Obat,Konsumsi diet seimbang
49,49,Reaksi Obat,Konsultasikan dengan profesional kesehatan
50,50,Penyakit tukak peptik,"Konsumsi porsi makan lebih kecil dan lebih sering"
51,51,Penyakit tukak peptik,"Hindari makanan pemicu (pedas, asam)"
52,52,Penyakit tukak peptik,Sertakan makanan tinggi serat
53,53,Penyakit tukak peptik,Batasi konsumsi kafein dan alkohol
54,54,Penyakit tukak peptik,Tetap terhidrasi
55,55,Penyakit tukak peptik,Konsumsi probiotik
56,56,Penyakit tukak peptik,Sertakan protein rendah lemak
57,57,Penyakit tukak peptik,Sertakan makanan kaya antioksidan
58,58,Penyakit tukak peptik,Batasi makanan olahan
59,59,Penyakit tukak peptik,Hindari merokok dan alkohol
60,60,AIDS,Ikuti diet seimbang dan bergizi
61,61,AIDS,Sertakan protein rendah lemak
62,62,AIDS,Konsumsi makanan kaya nutrisi
63,63,AIDS,Tetap terhidrasi
64,64,AIDS,Sertakan lemak sehat
65,65,AIDS,Hindari makanan mentah atau setengah matang
66,66,AIDS,Batasi makanan dan minuman manis
67,67,AIDS,Konsumsi makanan peningkat kekebalan tubuh
68,68,AIDS,Konsumsi suplemen yang diresepkan
69,69,AIDS,Konsultasikan dengan profesional kesehatan
70,70,Diabetes,Pantau asupan karbohidrat
71,71,Diabetes,Konsumsi makanan seimbang
72,72,Diabetes,Sertakan protein rendah lemak
73,73,Diabetes,Konsumsi makanan tinggi serat
